--------------- DW_2000Q_6 ---------------
     0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49  energy num_oc. chain_.
0    0  1  0  1  1  1  0  1  0  1  0  1  0  0  1  1  1  1  0  0  0  1  1  0  0  0  0  0  0  1  0  1  1  1  1  0  1  1  0  0  1  0  1  0  0  0  1  1  0  1 -684.25       1     0.0
1    1  0  0  1  1  0  0  1  0  0  0  0  1  1  0  0  0  1  0  0  0  1  1  1  1  1  0  0  0  1  1  1  1  1  0  0  0  1  0  0  1  0  1  0  0  1  1  1  0  1  -683.0       1     0.0
2    0  1  0  0  0  1  0  1  0  1  0  0  0  1  1  1  1  0  0  0  0  0  1  0  0  1  1  1  1  0  1  0  1  0  0  0  0  1  1  1  1  1  1  1  1  1  0  0  1  0 -682.25       1     0.0
3    0  1  1  0  1  0  0  0  0  1  0  1  0  1  1  1  0  1  0  0  0  0  0  1  1  1  1  0  1  1  1  0  1  0  1  0  0  1  0  1  1  0  1  0  0  0  1  1  1  0 -682.25       1     0.0
57   0  1  1  0  0  0  0  0  0  1  0  0  0  1  1  1  1  1  0  1  0  0  1  0  1  1  1  1  1  0  1  0  0  0  0  0  0  1  0  1  1  1  1  1  1  1  0  0  1  0 -682.25       1    0.02
120  0  1  0  1  0  0  1  0  0  1  0  1  0  1  0  0  1  0  0  0  1  0  1  1  0  1  0  1  1  0  1  0  0  0  1  0  1  1  0  1  1  1  1  1  1  1  0  0  1  0 -682.25       1    0.04
48   0  1  0  1  1  1  1  1  1  1  1  0  0  0  1  1  0  0  0  0  0  0  1  1  1  1  1  0  0  0  1  0  1  0  1  0  1  0  0  1  1  1  1  0  0  1  0  0  0  1  -682.0       1    0.02
72   0  1  0  1  0  0  0  1  0  0  1  1  0  1  0  1  1  0  1  0  0  0  1  1  1  1  0  1  1  0  1  1  1  0  0  0  0  1  0  0  0  1  1  1  1  1  0  0  0  0  -681.0       1    0.02
4    0  1  1  0  1  0  0  0  0  1  1  1  0  1  1  1  1  0  0  1  0  1  1  1  0  1  1  0  0  0  0  1  1  0  1  0  1  0  0  1  1  1  0  1  0  1  0  0  1  0  -679.0       1     0.0
60   0  1  0  1  1  0  1  1  0  1  0  1  0  1  0  1  1  0  0  0  0  0  1  0  1  1  1  0  1  0  0  1  1  0  1  0  1  1  0  1  1  0  1  1  0  1  0  0  0  0 -678.25       1    0.02
112  0  1  1  1  0  0  1  1  1  1  0  0  0  1  0  1  1  0  0  1  1  0  1  1  1  1  0  1  1  0  1  0  1  0  1  0  0  1  0  1  1  1  1  0  1  1  0  0  0  0  -678.0       1    0.04
5    0  1  1  0  1  0  0  0  0  1  1  0  1  0  1  1  0  0  0  1  1  0  1  1  0  0  1  0  1  0  1  1  1  0  1  1  1  1  0  0  1  0  1  1  0  0  0  0  1  0 -677.25       1     0.0
119  0  1  0  1  0  0  1  1  0  1  0  1  0  1  1  1  0  0  0  0  0  0  1  1  0  1  1  1  0  0  0  1  1  0  1  0  1  0  0  1  1  1  0  1  0  1  0  0  1  1 -677.25       1    0.04
480  0  1  1  1  0  1  1  1  0  1  0  1  0  0  1  1  1  0  0  0  0  0  1  1  1  1  1  0  0  0  1  1  1  0  1  0  0  0  0  1  1  1  0  0  0  1  0  0  1  0 -677.25       1     0.1
95   0  1  1  1  1  1  0  0  0  0  0  0  0  1  1  1  1  1  0  1  0  0  1  1  1  0  0  0  1  1  0  1  1  0  0  0  0  1  0  1  1  0  1  0  0  1  1  1  0  1  -677.0       1    0.02
177  0  1  1  1  0  0  1  1  1  1  0  1  0  1  0  1  1  0  0  0  0  0  0  1  1  1  0  1  1  0  1  0  1  0  0  0  1  1  0  1  1  1  0  0  1  1  0  0  0  1  -677.0       1    0.04
390  0  1  1  1  0  1  1  1  0  1  0  1  0  0  1  1  1  0  0  0  0  0  1  1  1  1  1  1  0  0  0  0  1  0  1  0  1  0  1  1  0  1  0  1  1  1  0  0  1  1  -677.0       1     0.1
6    0  1  0  1  0  0  1  1  0  0  1  1  0  0  1  1  1  0  0  0  1  0  0  0  0  1  0  1  1  0  1  1  1  0  0  1  0  0  0  1  1  1  1  1  1  1  0  0  0  0  -676.0       1     0.0
