--------------- DW_2000Q_6 ---------------
     0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59  energy num_oc. chain_b.
125  1  1  1  1  0  1  1  0  1  1  1  1  1  0  0  1  0  0  0  0  1  0  1  1  1  0  1  1  0  0  0  0  0  1  0  1  0  0  0  1  0  0  0  0  1  1  0  0  1  1  1  1  0  0  1  0  0  0  1  1  -977.0       1 0.083333
286  0  1  0  1  0  1  1  1  1  1  1  0  1  0  0  1  0  0  1  0  1  0  1  0  1  0  0  0  0  0  1  1  0  1  1  1  0  1  0  1  1  0  0  1  1  1  0  0  1  1  1  0  0  0  0  0  1  1  0  0  -972.0       1 0.133333
0    1  1  0  0  0  1  1  0  1  1  1  1  1  0  0  0  0  1  1  0  1  0  1  0  1  1  0  1  0  0  1  0  0  0  0  1  0  0  0  1  1  1  0  0  1  1  0  0  1  0  1  0  0  1  0  0  1  1  0  0  -971.0       1      0.0
242  1  1  0  0  0  1  1  0  0  1  1  1  0  0  0  1  0  0  1  1  1  0  1  1  1  0  0  0  0  0  0  0  0  0  0  1  0  1  0  1  0  0  0  0  1  1  0  0  1  1  1  1  0  1  1  0  1  1  1  1 -970.75       1 0.116667
69   1  1  1  1  1  1  0  1  1  1  1  0  1  0  0  1  1  1  1  0  0  0  1  1  1  0  1  1  1  0  0  0  0  1  0  0  0  1  0  0  1  0  0  0  1  0  0  0  1  1  1  0  1  0  1  0  0  0  1  1  -970.0       1 0.066667
103  0  1  0  1  0  1  0  0  1  1  1  1  1  0  0  1  0  0  1  0  1  0  1  1  1  0  1  1  1  0  0  0  0  0  0  1  0  0  0  1  1  0  0  0  1  1  0  0  1  1  1  0  0  1  1  0  1  1  1  0  -970.0       1      0.1
10   1  1  1  0  1  0  0  1  0  1  0  1  1  1  1  0  1  0  0  1  0  1  1  1  0  0  0  1  0  0  0  1  1  0  0  0  1  0  0  0  0  1  0  0  0  1  0  1  1  1  1  1  0  1  1  0  0  0  0  1 -969.75       1 0.016667
45   1  0  0  0  1  0  0  1  0  0  0  1  1  1  1  0  1  1  1  1  0  0  1  1  0  1  1  1  0  0  0  1  1  0  0  1  1  0  1  1  0  1  1  0  0  1  0  1  1  1  1  0  0  1  0  0  0  0  0  0  -969.0       1     0.05
473  0  1  1  1  0  1  1  0  0  0  1  1  1  0  0  1  0  0  0  0  1  0  1  1  1  0  1  0  0  1  0  0  0  1  0  0  0  0  1  1  0  0  0  1  1  1  0  0  1  1  1  1  1  1  1  0  0  1  1  0  -969.0       1 0.183333
177  0  1  1  1  0  1  1  0  0  1  1  0  1  0  0  1  0  0  0  0  1  0  1  1  0  0  1  1  1  1  0  0  0  1  0  0  0  1  0  0  1  0  1  1  1  1  0  0  1  1  1  1  0  0  1  0  0  1  1  0  -968.0       1      0.1
119  1  1  0  1  0  1  1  0  1  1  0  1  1  0  0  1  1  0  1  1  0  0  1  1  1  0  1  1  0  0  0  0  0  1  1  1  0  0  0  1  1  0  0  0  1  1  0  0  1  1  1  0  0  0  1  0  1  0  1  0 -967.75       1 0.083333
