--------------- DW_2000Q_6 ---------------
     0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29  energy num_oc. chain_b.
0    0  1  1  0  0  1  1  1  1  1  1  0  0  1  1  0  1  1  1  0  1  0  1  0  0  0  0  0  0  0 -195.25       1      0.0
1    0  1  1  0  0  0  1  1  1  1  1  0  1  1  1  1  1  1  0  0  1  0  1  0  0  0  0  0  0  0 -195.25       1      0.0
2    0  1  0  0  0  1  1  1  1  1  1  0  1  1  1  0  0  1  1  0  1  0  1  0  0  0  0  0  0  0  -195.0       1      0.0
3    0  1  1  0  0  1  1  1  1  1  1  0  0  1  1  0  0  1  1  1  1  0  1  0  0  0  0  0  0  0 -194.25       1      0.0
4    0  1  1  0  0  1  1  1  1  1  1  0  0  1  1  0  1  1  1  1  1  0  1  0  0  0  0  0  0  0  -194.0       3      0.0
5    0  1  1  0  0  0  1  1  1  1  1  0  1  1  1  1  1  1  1  0  1  0  1  0  0  0  0  0  0  0  -194.0       1      0.0
6    0  1  1  0  0  1  1  1  1  1  0  0  0  1  1  0  1  1  1  1  1  0  1  0  0  0  0  0  0  0 -193.25       2      0.0
7    0  1  1  1  0  1  1  1  1  0  0  0  0  1  1  0  1  1  1  1  1  0  1  0  0  0  0  0  0  0 -193.25       5      0.0
8    0  1  1  0  0  1  1  1  1  1  1  0  0  1  1  0  1  1  0  1  1  0  1  0  0  0  0  0  0  0 -193.25       2      0.0
9    0  1  1  0  0  0  1  1  1  1  1  0  0  1  1  0  1  1  1  1  1  0  1  0  0  0  0  0  0  0 -193.25       1      0.0
10   0  1  1  1  0  1  1  1  1  0  1  0  0  1  1  0  1  1  1  0  1  0  1  0  0  0  0  0  0  0 -193.25       2      0.0
113  0  1  1  1  0  1  1  1  1  0  0  0  0  1  1  0  1  1  1  1  1  0  1  0  0  0  0  0  0  0 -193.25       1 0.033333
190  0  1  1  1  0  1  1  1  1  0  1  0  0  1  1  0  1  1  1  0  1  0  1  0  0  0  0  0  0  0 -193.25       1 0.033333
205  0  1  1  1  0  1  1  1  1  0  1  0  0  1  1  0  1  1  0  1  1  0  1  0  0  0  0  0  0  0 -193.25       1 0.033333
239  0  1  1  1  0  1  1  1  1  0  1  0  0  1  1  0  1  1  1  0  1  0  1  0  0  0  0  0  0  0 -193.25       1 0.033333
312  0  1  1  0  0  0  1  1  1  1  1  0  0  1  1  1  1  1  1  0  1  0  1  0  0  0  0  0  0  0 -193.25       1 0.033333
350  0  1  1  1  0  1  1  1  1  0  1  0  0  1  1  0  1  1  1  0  1  0  1  0  0  0  0  0  0  0 -193.25       1 0.066667
11   0  1  1  1  0  1  1  1  1  1  0  0  0  1  1  0  1  1  1  1  1  0  1  0  0  0  0  0  0  0  -193.0       2      0.0
12   0  1  0  1  0  1  1  1  1  0  1  0  1  1  1  0  0  1  0  1  1  0  1  0  0  0  0  0  0  0  -193.0       1      0.0
13   0  1  1  1  0  1  1  1  1  0  1  0  0  1  1  0  0  1  1  1  1  0  1  0  0  0  0  0  1  0  -193.0       1      0.0
14   0  1  1  1  0  1  1  1  1  1  1  0  0  1  1  0  1  1  1  0  1  0  1  0  0  0  0  0  0  0  -193.0       1      0.0
135  0  1  1  1  0  1  1  1  1  1  1  0  0  1  1  0  1  1  1  0  1  0  1  0  0  0  0  0  0  0  -193.0       1 0.033333
15   0  1  1  1  0  1  1  1  1  1  0  0  0  1  0  0  1  1  1  1  1  0  1  0  0  0  0  0  0  0 -192.25       9      0.0
16   0  1  1  1  0  1  1  1  1  1  1  0  0  1  0  0  1  1  0  1  1  0  1  0  0  0  0  0  0  0 -192.25       5      0.0
17   1  0  0  0  1  0  0  0  0  0  1  1  1  0  1  1  0  0  0  0  0  1  0  1  1  1  1  1  1  1 -192.25       1      0.0
18   0  1  1  0  0  1  1  1  1  0  0  0  0  1  1  0  1  1  1  1  1  0  1  0  0  0  0  1  0  0 -192.25       1      0.0
19   0  1  1  1  0  1  1  1  1  0  1  0  1  0  1  0  0  1  1  1  1  0  1  0  0  0  0  0  0  0 -192.25       1      0.0
20   0  1  1  0  0  0  1  1  1  1  1  0  1  1  1  1  1  0  1  0  1  0  1  0  0  0  0  0  0  0 -192.25       1      0.0
21   0  1  1  0  0  1  1  1  1  0  1  0  0  1  1  0  1  1  1  0  1  0  1  0  0  0  0  1  0  0 -192.25       1      0.0
22   0  1  1  1  0  1  1  1  1  1  0  0  0  1  1  0  1  1  1  0  1  0  1  0  0  0  0  0  0  0 -192.25       2      0.0
23   0  1  1  0  0  0  1  1  1  1  1  0  0  1  1  0  1  1  0  1  1  0  1  1  0  0  0  0  0  0 -192.25       1      0.0
147  0  1  1  1  0  1  1  1  1  1  0  0  0  1  0  0  1  1  1  1  1  0  1  0  0  0  0  0  0  0 -192.25       1 0.033333
176  0  1  1  1  0  1  1  1  1  1  0  0  0  1  0  0  1  1  1  1  1  0  1  0  0  0  0  0  0  0 -192.25       1 0.033333
213  0  1  1  1  0  1  1  1  1  1  0  0  0  1  0  0  1  1  1  1  1  0  1  0  0  0  0  0  0  0 -192.25       1 0.033333
262  0  1  1  1  0  1  1  1  1  1  0  0  0  1  0  0  1  1  1  1  1  0  1  0  0  0  0  0  0  0 -192.25       1 0.033333
379  0  1  1  1  0  1  1  1  1  1  0  0  0  1  1  0  1  1  0  1  1  0  1  0  0  0  0  0  0  0 -192.25       1 0.066667
401  0  1  1  1  0  1  1  1  1  1  0  0  0  1  0  0  1  1  1  1  1  0  1  0  0  0  0  0  0  0 -192.25       1 0.066667
24   0  1  1  0  0  0  1  1  1  1  1  0  1  1  1  1  1  1  0  1  1  0  1  0  0  0  0  0  0  0  -192.0       1      0.0
25   0  1  1  1  0  1  1  1  1  0  0  0  0  1  1  0  1  1  1  0  1  0  1  0  0  0  0  0  0  0  -192.0       1      0.0
26   0  1  1  0  0  1  1  1  1  1  0  0  0  1  1  0  1  1  1  0  1  0  1  0  0  0  0  0  0  0  -192.0       1      0.0
27   0  0  1  0  0  1  1  1  1  1  1  0  0  1  0  0  1  1  1  0  1  0  1  0  0  0  0  0  1  0  -192.0       1      0.0
