--------------- DW_2000Q_6 ---------------
    0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39  energy num_oc. chain_.
0    1  1  1  0  1  1  0  0  1  0  1  0  0  1  0  1  0  1  1  0  0  1  1  0  0  0  1  1  0  1  0  1  0  0  0  0  1  1  0  1  -340.0       1     0.0
1    0  0  0  0  0  0  1  1  1  1  0  1  1  1  1  1  1  0  0  0  1  0  0  1  1  0  1  1  1  1  0  0  1  1  0  1  0  0  0  0  -334.0       1     0.0
2    0  1  0  1  0  0  1  1  1  1  1  1  1  1  0  0  0  0  0  0  1  0  1  0  0  0  1  0  1  1  1  1  0  1  0  1  0  0  1  0  -334.0       1     0.0
3    1  1  1  1  1  1  0  0  0  0  1  0  1  1  0  1  0  1  0  0  0  1  1  1  0  1  1  0  0  1  0  1  0  0  0  0  1  1  0  1 -332.75       1     0.0
4    0  1  0  1  0  0  1  1  0  1  0  0  1  1  1  0  1  0  0  1  1  0  0  1  1  0  0  1  1  1  1  0  0  1  1  1  1  0  0  0 -332.75       1     0.0
5    0  1  0  1  0  1  0  1  0  1  1  0  1  1  0  0  0  1  0  0  1  1  0  0  0  0  1  1  0  1  1  0  0  1  1  1  1  1  0  1 -332.75       1     0.0
6    1  1  1  0  1  1  0  0  1  0  0  0  1  1  0  1  0  1  0  1  1  1  0  1  0  1  1  0  0  0  0  1  0  0  0  0  1  1  0  1  -332.0       1     0.0
7    1  1  0  0  0  0  1  1  1  0  1  1  1  1  0  0  0  0  0  0  1  0  1  0  1  0  1  0  1  1  1  0  0  1  0  1  0  0  0  0  -332.0       1     0.0
8    1  1  0  0  0  0  1  1  1  1  1  0  1  1  0  0  1  1  0  0  1  0  1  0  1  0  1  0  1  1  1  0  0  1  0  1  0  0  0  0  -332.0       1     0.0
196  1  1  1  0  0  1  0  1  0  0  1  0  1  1  0  1  0  1  1  0  0  1  1  1  0  0  1  1  0  0  0  1  0  1  0  0  1  1  0  0  -332.0       1   0.025
204  1  1  1  1  0  1  0  0  0  1  1  0  0  1  1  1  0  1  1  0  0  1  0  1  0  1  1  1  0  0  1  0  0  1  1  0  1  0  0  1  -332.0       1   0.025
9    1  1  0  1  1  1  0  0  0  0  1  0  1  1  0  1  1  1  1  0  0  0  0  1  0  1  1  0  0  1  0  1  0  1  0  0  1  1  0  1 -331.75       1     0.0
10   0  1  0  1  0  0  1  1  1  1  1  1  1  0  0  1  1  0  0  1  1  0  0  0  1  0  1  1  1  1  1  0  0  1  0  1  0  0  0  0 -331.75       1     0.0
11   0  1  0  1  0  1  0  0  1  0  1  0  1  1  0  0  0  1  0  0  1  0  1  0  0  0  1  0  1  0  1  1  0  0  1  0  1  1  1  0  -331.0       1     0.0
12   1  1  0  0  1  0  0  0  1  1  1  0  1  1  0  1  0  1  0  1  1  1  1  0  1  0  1  0  1  0  1  1  0  0  0  0  0  1  0  0  -331.0       1     0.0
13   1  1  0  1  0  1  0  0  1  0  1  1  1  1  0  0  0  1  0  0  1  1  1  0  0  0  1  0  1  0  1  1  0  0  0  0  0  1  1  1  -331.0       1     0.0
14   1  0  0  0  0  1  0  1  1  1  1  1  1  1  0  0  0  1  0  0  1  1  1  0  0  0  1  0  1  0  1  0  0  0  1  1  0  1  1  1 -330.75       1     0.0
15   1  1  0  1  0  1  0  1  1  0  1  1  0  1  0  1  0  1  0  0  0  1  1  1  0  0  1  1  0  1  0  1  0  0  0  0  1  1  0  1 -330.75       1     0.0
16   0  0  0  1  0  0  1  1  1  1  1  0  1  1  1  1  0  0  0  0  1  1  1  1  1  0  1  1  1  0  1  0  0  1  0  1  0  0  0  0 -330.75       1     0.0
17   0  1  1  0  1  0  1  1  0  1  0  0  0  0  1  0  1  1  1  1  0  0  0  1  1  0  0  1  0  0  1  0  1  0  1  0  0  0  1  0  -330.0       1     0.0
18   1  1  1  0  0  1  0  0  1  0  1  0  1  1  0  1  0  1  0  0  0  1  1  0  0  0  1  0  0  0  0  1  0  0  0  1  1  1  0  1  -330.0       1     0.0
19   1  1  1  0  1  1  0  0  0  0  0  0  0  1  0  1  0  1  1  0  0  1  1  1  0  1  1  1  0  0  0  1  1  0  0  0  1  0  0  0  -330.0       1     0.0
