--------------- DW_2000Q_6 ---------------
  0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49  energy num_oc. chain_.
0    1  0  0  0  1  0  1  0  0  0  0  1  0  0  1  1  0  1  0  1  0  0  1  0  1  1  1  0  1  1  0  0  1  1  0  1  0  0  0  1  1  1  1  0  0  0  1  1  1  1 -506.25       1     0.0
67   0  1  1  0  0  1  0  0  1  1  0  0  0  1  0  0  1  0  1  0  0  0  0  0  1  0  1  0  1  0  1  1  1  1  1  1  1  1  0  0  0  1  1  1  1  0  1  1  0  0 -505.25       1    0.02
82   1  1  0  1  1  0  1  1  0  0  1  1  1  0  1  0  0  0  0  1  1  1  1  1  1  1  0  1  0  1  0  0  0  0  0  0  0  0  1  1  0  1  0  1  0  0  1  0  0  0  -504.0       1    0.02
1    1  0  0  1  0  1  0  1  0  1  1  1  1  0  0  0  0  1  1  0  1  0  1  1  1  1  0  1  0  1  1  1  0  1  0  0  0  1  1  0  0  0  0  1  0  1  0  1  0  0 -502.25       1     0.0
2    1  1  0  1  1  0  0  1  0  1  1  1  0  1  1  1  0  0  1  0  0  1  1  1  1  1  0  1  0  1  1  1  0  1  0  0  0  0  1  1  0  0  1  0  0  1  0  0  0  0  -502.0       1     0.0
103  0  1  1  1  0  0  1  1  0  0  1  1  1  0  1  1  0  1  0  0  0  0  1  0  0  1  0  0  0  1  0  0  0  1  0  0  0  0  1  1  1  1  0  1  1  1  1  0  1  0  -502.0       1    0.02
3    0  1  1  1  1  1  1  1  0  1  1  1  0  1  1  1  0  0  0  0  0  0  0  0  1  1  1  1  0  1  1  0  0  1  0  1  0  0  0  1  0  1  0  0  0  0  0  0  1  1 -501.25       1     0.0
83   0  0  1  1  0  1  1  1  0  0  1  1  1  0  1  0  0  0  0  0  0  1  1  1  1  0  0  0  0  1  1  1  0  1  0  1  1  0  1  0  0  0  0  1  0  1  1  0  0  1  -500.0       1    0.02
4    0  1  1  0  1  1  0  0  1  1  0  1  0  0  0  0  1  0  1  0  0  0  0  0  1  0  1  1  1  1  1  1  1  1  1  1  1  0  0  0  1  1  1  0  1  0  0  1  1  0 -499.25       1     0.0
183  0  0  1  0  0  0  1  0  1  1  1  1  0  0  1  1  0  0  1  1  0  0  1  0  1  1  0  1  1  1  0  0  0  1  0  0  1  0  0  1  1  1  1  0  0  0  0  1  1  1 -499.25       1    0.02
272  1  1  0  1  1  0  0  1  0  1  1  1  0  1  1  0  0  0  0  0  1  0  1  1  0  1  1  1  0  1  1  1  1  0  0  0  0  0  1  1  0  1  0  0  0  0  0  1  1  0 -499.25       1    0.04
5    1  0  1  1  1  0  0  1  1  0  1  1  0  0  1  1  0  1  0  1  1  0  1  0  1  1  0  0  0  1  0  0  1  0  0  1  0  0  0  1  0  1  0  1  0  0  1  1  1  1  -499.0       1     0.0
310  0  0  1  0  0  1  1  0  1  0  0  0  0  0  1  0  0  1  1  0  0  0  0  1  1  0  0  1  1  1  0  1  0  1  1  1  1  0  0  0  1  0  1  1  0  1  0  1  1  1  -499.0       1    0.04
6    0  0  0  0  0  0  1  0  1  0  1  1  0  0  1  1  0  1  1  0  0  0  1  1  0  0  0  1  1  1  1  0  0  1  0  1  0  0  0  1  0  1  0  1  1  1  1  0  1  0 -498.25       1     0.0
275  0  1  1  0  1  1  0  0  1  0  0  1  1  0  0  0  1  1  1  0  0  0  0  0  1  0  1  0  1  1  1  1  0  1  1  0  1  0  0  0  1  1  0  1  1  0  0  1  1  0 -498.25       1    0.04
7    1  1  1  1  1  0  0  1  0  0  0  1  0  0  1  0  0  1  0  1  1  1  1  1  1  1  0  1  0  1  0  0  1  0  0  1  0  0  0  1  0  1  1  0  0  0  1  1  1  0  -498.0       1     0.0
104  0  1  1  1  0  0  0  1  0  0  1  1  1  0  1  0  0  1  0  0  1  1  1  1  0  0  0  1  0  1  0  0  0  1  0  0  1  0  1  1  0  1  0  1  1  1  1  0  1  0 -497.25       1    0.02
187  1  0  0  0  0  1  1  1  0  0  1  1  1  0  1  0  1  0  1  0  1  1  1  1  0  0  0  1  0  1  1  0  0  1  0  0  1  0  1  0  0  1  0  1  1  1  1  0  0  0 -497.25       1    0.02
8    0  0  0  0  0  1  1  1  0  0  1  1  1  0  1  0  0  0  0  0  0  1  1  1  1  0  0  1  0  1  1  1  0  1  0  1  1  1  1  0  1  0  0  1  1  1  1  0  1  0  -497.0       1     0.0
9    0  0  1  1  0  1  0  0  1  0  0  0  1  0  0  0  1  1  1  0  0  0  1  0  1  0  0  1  1  1  0  1  0  1  0  0  1  0  0  0  1  1  0  1  1  1  1  1  1  0  -497.0       1     0.0
10   1  0  1  0  0  0  0  1  0  1  0  1  0  0  1  0  0  1  1  0  0  0  1  1  1  0  0  1  0  1  1  1  0  1  0  0  1  0  0  0  1  0  1  1  1  1  0  1  1  0  -497.0       1     0.0
11   0  1  0  0  0  1  1  0  1  1  0  0  0  0  0  0  1  1  1  0  0  0  0  0  1  0  1  0  1  1  0  1  1  0  1  0  1  1  0  0  1  0  1  1  1  1  0  1  1  0  -497.0       1     0.0
159  1  0  1  1  0  0  1  1  0  1  1  1  1  0  1  0  0  1  0  0  0  0  1  1  0  0  0  0  0  1  1  0  0  1  0  0  1  0  0  1  0  1  0  1  1  1  1  0  1  0  -497.0       1    0.02
193  1  0  0  1  0  0  0  1  1  1  1  1  0  1  0  0  0  0  1  0  1  1  1  1  0  0  0  1  0  1  1  1  0  0  0  0  1  0  1  0  0  1  0  1  1  1  0  1  0  0  -497.0       1    0.02
12   0  0  1  0  1  1  1  1  0  0  1  1  1  0  1  0  0  1  0  0  0  0  1  1  1  0  0  1  0  1  1  0  0  1  0  1  0  0  0  1  0  0  0  1  1  1  1  1  1  0 -496.25       1     0.0
13   1  0  1  0  0  0  0  0  1  1  0  0  0  0  0  1  1  1  1  0  0  0  0  0  0  1  1  1  1  0  0  1  1  0  1  0  1  0  1  1  1  1  1  1  1  0  0  1  1  0 -496.25       1     0.0
14   1  0  0  1  1  0  0  1  0  0  1  1  1  0  1  0  0  1  0  0  1  0  1  1  0  1  0  1  0  1  0  0  0  1  0  0  0  0  1  0  0  1  0  1  1  1  0  1  1  0 -496.25       1     0.0
15   0  0  0  0  0  0  0  0  1  0  0  1  0  0  0  1  1  1  1  0  0  0  1  0  1  0  0  0  1  1  0  1  0  1  1  1  1  0  0  1  1  1  1  1  1  1  1  1  1  0 -496.25       1     0.0
314  0  1  1  0  0  0  0  0  0  1  0  0  0  0  1  1  0  1  1  1  1  0  0  0  1  1  0  1  1  1  0  1  0  1  0  1  0  1  0  1  0  1  1  0  0  0  1  1  1  1 -496.25       1    0.04
16   0  0  1  0  1  0  0  0  1  1  0  1  0  0  1  1  0  1  1  0  0  0  0  0  1  0  0  1  1  1  0  1  0  1  1  0  0  0  1  0  1  1  1  1  1  1  0  1  1  1  -496.0       1     0.0
17   1  1  0  1  1  1  0  1  0  1  1  0  0  1  1  0  0  0  0  0  1  1  0  1  0  1  0  1  0  1  1  1  0  1  0  0  1  1  1  1  0  0  0  1  0  1  1  0  0  0  -496.0       1     0.0
