--------------- DW_2000Q_6 ---------------
 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59  energy num_oc. chain_b.
10   0  1  1  0  1  0  0  0  0  1  1  0  1  0  1  0  1  1  1  0  0  1  0  1  0  0  0  1  0  0  1  0  1  1  1  0  0  1  1  1  1  0  1  1  1  0  1  0  1  0  0  0  1  0  1  0  1  1  0  0  -724.0       1 0.016667
9    0  0  0  0  1  1  0  1  1  1  1  0  1  0  1  0  1  0  1  0  1  0  1  0  0  0  0  1  0  0  1  0  1  1  1  1  0  1  1  1  1  1  1  1  1  0  1  0  1  1  0  1  1  0  0  0  1  1  0  0 -721.75       1 0.016667
0    0  1  1  0  1  1  0  1  0  0  0  0  1  0  1  1  0  1  0  0  0  1  0  1  0  0  1  1  0  1  1  1  1  1  1  0  0  0  1  1  1  1  0  1  1  0  1  0  0  0  0  0  1  0  1  1  1  1  0  0 -720.75       1      0.0
1    0  0  1  0  1  0  1  1  0  1  1  0  1  0  1  0  0  1  0  1  0  1  1  1  0  0  0  1  0  0  1  0  1  1  1  0  0  1  1  1  1  1  1  1  1  0  1  0  0  1  0  0  0  0  1  0  1  1  0  0 -719.75       1      0.0
59   0  0  0  0  1  0  1  1  0  0  1  0  1  0  1  0  0  1  0  1  1  0  1  0  1  0  0  0  0  0  1  1  1  1  1  0  0  1  1  1  1  1  0  1  1  0  1  1  1  0  0  1  0  0  1  0  1  1  0  0  -719.0       1 0.033333
67   0  1  0  0  1  0  0  1  1  0  1  0  0  0  1  0  1  1  0  0  1  0  1  1  0  0  0  1  0  0  1  0  1  1  1  0  0  1  1  1  1  1  1  1  1  0  0  0  1  0  0  1  1  0  1  0  1  1  0  0  -717.0       1 0.016667
2    0  0  0  0  1  0  0  1  1  0  1  0  0  1  1  0  1  1  1  0  1  0  1  0  1  0  0  1  0  0  1  0  1  1  1  0  0  1  0  1  1  1  1  1  1  0  1  0  1  0  0  1  1  0  1  0  0  1  0  0  -716.0       1      0.0
115  0  0  0  0  1  0  1  0  1  1  1  0  1  0  1  0  0  1  0  0  0  1  1  0  1  0  0  1  0  0  1  1  1  1  1  1  0  1  1  1  1  0  1  1  1  0  1  0  1  0  0  1  1  0  1  0  1  1  0  0  -715.0       1 0.033333
154  0  1  1  0  0  1  1  0  0  1  1  0  1  1  0  1  1  1  1  0  1  0  0  1  0  0  0  1  1  0  0  0  0  0  1  1  1  0  0  0  0  1  1  1  1  0  1  0  0  0  1  1  1  0  0  1  0  0  1  1  -715.0       1 0.033333
27   0  1  0  0  1  0  0  1  1  1  1  0  1  0  0  0  1  1  1  1  0  0  1  1  0  0  0  0  0  0  1  0  1  0  1  0  0  1  1  1  1  1  1  1  1  0  0  0  1  1  0  1  1  0  1  0  0  1  0  1 -714.75       1 0.016667
40   0  0  0  0  0  0  0  1  1  0  1  0  1  0  1  0  1  1  0  0  1  0  1  0  0  0  0  0  0  0  1  0  1  1  1  1  0  1  1  1  1  1  1  1  1  0  1  0  0  0  1  1  1  0  1  0  1  1  0  1  -714.0       1 0.016667
191  0  1  0  0  1  0  0  1  0  0  1  0  1  1  1  0  1  1  0  0  0  1  1  0  0  0  0  1  0  1  1  1  1  1  1  0  0  0  1  1  1  1  1  1  1  0  1  0  1  0  1  0  1  0  1  0  1  1  0  0  -714.0       1     0.05
28   0  0  0  0  1  0  1  1  0  1  1  0  1  0  1  0  1  1  0  0  0  0  1  1  0  0  0  1  0  0  1  0  1  1  1  0  1  1  1  1  0  1  1  1  1  0  1  1  0  0  0  1  1  0  1  0  1  1  0  0 -713.75       1 0.016667
145  0  1  0  0  0  0  1  0  0  1  1  0  1  0  1  0  1  1  0  1  1  0  1  1  1  0  0  1  0  0  1  0  1  1  1  1  0  1  0  1  1  0  1  1  1  0  0  0  0  0  0  0  0  0  1  0  1  1  0  1 -713.75       1 0.016667
63   0  1  1  1  0  0  1  1  0  0  0  0  1  0  1  1  1  1  1  0  0  0  0  1  1  0  0  1  1  0  1  1  0  0  0  0  0  0  1  1  1  1  1  1  1  0  1  0  0  0  0  0  1  0  1  0  1  1  1  0  -713.0       1 0.016667
68   0  0  0  0  1  0  1  1  0  1  1  0  1  0  1  0  1  1  1  0  1  0  1  0  0  0  0  1  0  0  1  0  1  1  1  1  0  1  1  1  1  1  1  1  1  0  0  0  1  1  0  0  1  0  0  0  1  1  0  1  -713.0       1 0.033333
3    1  1  1  1  0  1  0  0  0  0  0  0  0  1  1  1  1  1  1  0  0  0  1  1  0  0  0  1  1  1  1  1  0  0  0  0  0  1  1  0  1  0  1  1  1  0  1  1  0  0  0  1  1  0  1  0  0  1  1  0 -712.75       1      0.0
4    0  1  1  1  0  1  0  1  0  1  1  0  1  0  1  0  0  1  0  0  0  1  1  1  1  0  0  1  0  0  1  0  1  0  1  0  0  1  1  1  1  1  0  1  1  0  1  1  1  0  0  0  0  0  1  0  1  1  0  0 -712.75       1      0.0
5    0  1  0  0  1  0  1  0  0  1  1  0  1  0  1  0  1  1  0  1  1  0  1  1  0  0  0  1  0  0  0  0  1  1  1  1  0  1  0  1  1  1  1  1  1  0  0  0  1  1  0  0  1  0  1  0  1  1  0  1  -712.0       1      0.0
23   0  1  1  0  1  0  0  1  1  0  1  0  1  0  1  0  1  1  0  0  0  1  1  1  0  0  0  1  0  0  0  1  1  0  1  0  0  0  1  1  1  1  1  1  0  0  0  0  1  1  0  0  0  0  1  1  1  1  0  0 -711.75       1 0.016667
74   0  1  0  0  1  0  1  0  0  1  1  0  1  0  1  0  0  1  0  1  1  0  1  0  1  0  0  0  0  0  0  1  1  1  1  1  0  1  0  1  1  0  1  1  1  0  1  0  1  1  0  1  1  0  1  0  1  1  0  0 -711.75       1 0.033333
112  0  1  0  0  1  0  0  1  1  1  1  0  1  0  1  1  1  1  1  0  1  0  1  0  0  0  0  1  0  0  0  0  1  1  1  0  0  1  0  1  1  1  1  1  1  0  0  0  1  1  0  0  1  0  1  0  1  1  0  0 -711.75       1 0.033333
6    0  0  0  0  1  0  0  1  0  1  1  0  1  0  1  0  1  1  0  0  0  1  1  0  0  0  1  1  0  0  1  0  1  0  1  0  0  1  0  1  1  1  1  1  1  0  1  1  0  0  0  0  0  0  1  1  1  1  0  0  -711.0       1      0.0
39   0  1  0  0  1  0  0  1  1  0  1  0  1  0  1  0  1  1  1  0  0  0  1  0  1  0  0  0  0  1  1  0  1  1  1  0  0  1  1  1  1  1  0  1  1  0  1  0  1  0  1  0  1  0  1  0  1  1  0  1  -711.0       1 0.016667
260  0  1  0  0  1  0  1  1  0  0  1  0  1  0  1  0  1  1  0  0  1  1  1  1  0  0  0  0  0  0  1  0  1  1  1  0  0  1  1  1  1  1  1  1  1  0  1  0  0  1  1  0  1  0  1  0  1  1  0  0  -711.0       1 0.066667
459  0  1  0  0  1  0  1  1  0  1  0  0  1  1  1  0  0  1  0  0  0  0  1  0  0  0  0  1  0  0  1  1  1  1  1  0  0  0  1  1  1  1  1  1  1  0  1  0  1  1  0  1  1  1  1  0  1  1  0  0  -711.0       1 0.133333
7    1  1  1  0  0  1  0  0  1  0  0  1  0  1  1  1  0  1  1  0  0  0  0  1  1  0  1  1  1  1  1  0  0  0  0  0  0  0  1  0  0  1  1  0  0  1  1  0  0  0  0  1  0  1  1  0  1  0  1  1 -710.75       1      0.0
142  0  1  0  0  0  0  1  1  0  1  1  0  1  1  1  0  1  1  1  0  0  0  1  0  0  1  0  1  0  0  1  0  1  1  1  0  0  1  0  1  1  1  1  0  0  0  0  0  1  0  1  0  1  0  1  1  1  1  1  0 -710.75       1 0.033333
