--------------- DW_2000Q_6 ---------------
     0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39  energy num_oc. chain_.
0    1  0  1  0  1  0  0  0  0  1  1  1  1  0  1  0  1  0  1  0  1  0  1  1  0  1  1  1  0  1  1  0  0  1  0  0  0  1  0  0  -213.0       1     0.0
192  0  0  0  1  1  0  0  0  0  1  1  0  1  0  0  0  1  0  0  0  0  0  0  0  0  1  1  1  1  1  0  1  1  1  1  0  1  1  1  1 -212.75       1    0.05
1    0  1  0  1  0  1  1  1  0  0  0  0  0  0  0  0  0  1  0  1  0  1  0  0  1  1  0  0  1  1  1  1  0  1  1  0  1  1  1  1  -212.0       1     0.0
2    1  0  0  0  1  0  0  0  0  1  1  1  1  1  0  0  1  0  1  0  1  0  1  1  0  0  1  1  0  1  0  1  0  1  0  0  0  1  1  0 -210.75       1     0.0
3    0  1  1  1  1  1  1  1  1  0  1  0  0  0  1  0  0  1  0  1  1  0  0  0  1  0  0  0  0  1  1  0  1  1  1  0  1  0  1  1  -209.0       1     0.0
4    1  0  1  0  1  0  0  0  1  1  1  1  1  0  1  0  0  0  1  1  0  1  1  1  0  0  1  0  1  1  1  0  0  1  0  0  0  1  0  0  -209.0       1     0.0
5    1  1  1  0  0  1  1  1  0  1  0  1  0  1  0  0  0  0  1  1  0  1  1  1  0  1  0  0  0  0  1  0  0  0  1  1  0  1  0  0 -208.75       1     0.0
6    0  0  0  1  1  0  1  0  1  1  1  0  1  0  1  1  1  1  0  0  1  0  0  0  1  0  1  1  1  1  0  1  1  1  1  0  0  0  0  1  -208.0       1     0.0
7    0  1  0  1  1  1  1  0  0  0  0  0  0  0  0  0  0  1  0  0  1  1  1  0  0  1  0  1  1  1  1  1  0  1  1  0  1  1  1  1 -207.75       1     0.0
8    0  0  0  0  1  1  0  0  0  1  0  1  0  0  0  1  1  1  1  0  1  1  1  1  0  1  0  1  0  0  1  1  1  0  1  1  1  0  1  0 -207.75       1     0.0
9    1  0  1  0  1  0  0  0  0  1  1  1  0  0  0  0  1  0  1  0  0  1  1  1  0  1  1  1  0  1  1  0  0  0  1  0  0  1  1  0 -207.75       1     0.0
10   0  1  0  1  1  0  0  0  0  0  0  1  0  0  0  1  0  1  0  1  1  1  1  0  1  1  0  1  1  0  1  0  1  0  1  1  1  0  1  1 -207.75       1     0.0
148  0  0  0  1  1  0  1  0  0  1  0  0  1  0  0  0  1  0  0  0  1  0  1  1  0  1  1  1  1  1  0  1  1  1  1  0  1  1  1  0 -207.75       1   0.025
11   1  0  1  0  0  0  1  1  0  1  1  1  1  1  1  0  1  0  0  1  0  0  1  1  0  0  1  0  0  1  1  1  1  1  0  0  0  0  0  0  -207.0       1     0.0
12   0  1  0  1  0  0  1  1  1  0  1  1  0  0  0  1  0  1  0  1  1  0  0  0  1  0  0  1  0  0  1  0  1  0  1  1  1  0  1  1  -207.0       1     0.0
13   0  1  0  1  0  0  1  1  0  0  0  0  0  0  0  0  0  1  0  1  1  1  1  0  0  1  0  1  1  1  1  1  0  0  1  0  1  1  1  1  -207.0       1     0.0
14   0  1  0  1  1  1  1  1  0  0  0  1  0  0  1  1  0  1  0  1  0  1  1  0  0  1  0  1  1  0  0  0  0  0  1  1  0  1  1  1 -206.75       1     0.0
15   1  1  0  0  0  1  1  1  0  0  0  0  0  1  1  0  0  1  1  1  1  0  0  0  1  1  0  0  1  1  1  1  1  1  1  0  0  0  0  1 -206.75       1     0.0
16   0  1  0  1  1  0  1  0  0  1  1  0  0  0  0  0  1  1  0  0  1  0  0  0  0  1  0  1  1  1  1  1  0  1  1  0  1  1  1  1 -206.75       1     0.0
17   0  0  1  0  1  0  0  1  0  1  1  1  0  0  0  1  1  0  0  0  0  0  1  1  0  1  1  1  0  1  1  1  0  0  1  0  1  1  1  1 -206.75       1     0.0
18   0  1  0  1  0  0  1  1  0  0  0  0  0  0  0  0  0  1  1  0  1  1  1  0  0  1  0  1  1  1  0  1  0  1  0  0  1  1  1  1 -206.75       1     0.0
19   0  0  0  1  1  0  1  0  0  1  1  1  1  0  0  0  1  1  0  0  1  0  0  0  0  0  1  1  1  1  0  1  0  1  1  0  1  1  1  1 -206.75       1     0.0
20   1  0  0  0  0  1  1  1  0  1  1  0  0  1  1  0  1  0  1  1  1  0  1  1  0  0  1  0  0  1  0  1  0  1  0  0  0  1  0  0 -206.75       1     0.0
21   1  0  1  0  1  0  0  1  0  1  1  0  1  0  0  0  1  0  1  1  1  1  1  1  0  1  0  0  0  1  1  1  1  1  0  0  1  0  0  0 -206.75       1     0.0
22   1  0  1  0  0  1  1  1  0  1  0  1  0  0  0  0  0  1  1  1  0  1  1  1  0  1  0  0  1  0  1  0  0  0  0  1  0  1  1  0 -206.75       1     0.0
