--------------- DW_2000Q_6 ---------------
    0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59  energy num_oc. chain_b.
0    0  0  0  1  0  0  1  0  0  0  1  0  0  1  1  0  0  1  1  1  0  1  1  0  1  1  0  0  0  0  1  1  1  0  1  0  0  0  0  1  0  0  1  1  1  1  0  1  1  0  1  0  1  1  0  1  1  1  1  0  -479.0       1      0.0
54   0  0  1  0  0  0  1  1  0  0  1  0  1  1  1  0  0  1  1  1  1  1  1  0  0  1  1  1  0  0  0  1  1  0  0  0  0  0  0  1  0  0  1  1  1  1  0  1  1  1  1  0  0  0  0  1  0  1  1  0  -473.0       1     0.05
23   0  0  0  0  0  0  0  0  1  0  0  0  1  1  1  1  0  0  1  1  1  0  1  0  0  1  0  0  1  0  1  1  1  1  1  0  0  0  0  1  0  1  1  1  1  0  0  1  1  1  1  0  0  0  0  1  1  1  1  0 -467.75       1 0.016667
130  0  0  0  0  0  0  1  0  1  0  1  0  0  0  1  1  1  1  1  1  1  0  1  0  0  1  0  0  0  1  1  1  1  0  1  0  0  0  0  1  0  1  1  1  1  1  0  1  1  1  1  0  0  0  0  1  1  1  1  0 -467.75       1     0.05
221  0  1  1  0  0  0  1  1  1  0  0  0  1  1  0  0  1  0  1  1  1  1  0  1  0  1  0  1  1  0  0  1  0  1  0  0  0  1  0  1  0  1  1  1  1  1  0  1  0  1  0  1  1  0  0  0  0  1  1  0 -467.75       1 0.066667
1    1  0  0  0  0  0  1  1  0  0  1  0  1  0  0  0  1  0  1  1  1  0  0  1  1  1  0  1  1  1  0  1  1  1  1  1  0  1  0  1  0  0  0  1  0  0  1  0  0  1  1  0  0  1  1  1  0  1  1  1  -467.0       1      0.0
14   1  0  0  0  0  0  0  0  1  0  0  0  1  1  1  0  0  0  1  1  1  0  1  1  1  1  0  1  1  0  1  0  1  1  1  0  0  0  0  1  0  0  0  1  1  1  0  1  1  0  1  0  0  1  0  1  1  1  1  0  -467.0       1 0.016667
127  0  0  0  0  0  1  1  1  0  0  0  0  1  0  1  0  1  0  0  1  1  1  1  0  0  1  0  1  0  0  1  1  1  1  1  0  0  0  0  1  0  0  1  1  1  1  0  1  1  1  1  0  1  0  0  0  1  1  0  1  -467.0       1     0.05
139  0  1  0  0  0  1  1  0  0  0  1  0  1  0  1  0  1  0  1  1  0  1  1  0  0  1  0  0  0  1  1  1  0  0  1  0  0  0  0  1  0  1  1  1  1  1  0  1  1  1  1  0  1  0  0  0  1  1  1  0  -467.0       1     0.05
160  0  1  0  0  1  0  0  0  1  0  0  0  1  1  1  0  0  0  1  1  1  1  1  0  0  1  0  0  1  0  1  1  0  1  0  0  0  0  0  1  0  1  1  1  1  1  1  1  0  0  1  1  1  1  0  1  1  1  1  0  -467.0       1 0.066667
175  0  0  1  0  0  0  0  1  0  0  1  0  1  1  1  1  1  1  1  1  1  1  1  0  0  1  0  1  0  0  0  1  0  1  1  0  0  0  0  0  1  0  1  0  0  0  1  1  1  0  0  0  0  1  1  1  1  1  1  0  -467.0       1     0.05
196  0  1  1  0  1  0  1  0  0  0  1  0  1  1  0  0  1  0  1  1  1  1  1  1  1  1  1  1  1  0  0  1  0  0  0  0  0  0  0  0  0  0  1  0  0  0  0  1  0  1  0  1  0  1  1  1  1  1  1  1 -466.75       1 0.066667
45   0  1  1  0  0  0  1  0  0  0  1  0  1  0  0  0  1  0  0  1  1  1  1  1  0  1  0  0  0  0  1  1  1  0  1  0  0  0  0  1  0  0  0  1  1  1  0  1  1  1  1  0  1  0  0  0  1  1  1  0  -466.0       1 0.033333
56   0  0  0  1  0  0  0  1  1  0  1  0  0  1  1  1  0  1  1  1  1  1  1  0  0  1  0  0  1  0  1  1  1  0  0  0  0  0  0  1  1  0  1  1  1  0  1  0  1  0  1  1  0  0  1  1  1  1  1  1 -465.75       1 0.033333
122  0  0  0  0  0  1  1  1  0  0  1  0  1  0  1  1  0  1  1  1  1  1  1  1  0  1  1  1  0  0  1  1  0  0  1  0  0  0  0  0  0  0  1  0  1  0  0  1  1  0  1  1  0  1  0  1  1  1  0  0  -465.0       1     0.05
2    1  0  0  0  0  0  1  0  0  0  1  0  1  0  0  0  0  0  1  1  1  0  1  1  1  1  0  0  0  0  1  1  1  0  1  0  0  0  0  1  1  1  1  1  1  1  0  1  1  0  1  0  1  0  0  0  1  0  1  0  -464.0       1      0.0
3    0  1  0  0  1  0  1  0  1  0  1  0  1  1  0  1  1  0  1  1  1  1  1  0  0  1  1  0  0  0  1  0  0  0  1  0  0  0  0  1  1  1  1  0  0  1  0  1  1  0  1  0  0  1  0  1  1  0  1  0  -464.0       1      0.0
107  0  1  1  1  0  0  0  1  0  0  1  0  1  0  1  0  1  0  1  1  0  1  1  1  0  1  1  1  0  0  0  1  1  0  0  0  0  0  0  1  0  0  1  1  0  0  1  1  1  1  1  0  0  1  1  1  0  1  1  1  -464.0       1     0.05
109  0  1  0  0  0  1  0  0  0  0  1  0  1  1  1  0  0  0  1  1  0  1  1  0  0  1  1  0  0  0  1  0  1  0  1  0  0  0  0  1  0  0  0  1  0  1  0  1  1  1  1  0  1  1  0  0  1  1  1  1  -464.0       1     0.05
