--------------- DW_2000Q_6 ---------------
    0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29  energy num_oc. chain_b.
0    0  1  0  1  1  0  0  0  1  0  0  0  1  1  1  1  0  0  0  1  1  1  0  1  1  0  1  0  1  0 -252.25       1      0.0
1    0  1  1  1  1  0  0  0  1  0  0  0  1  1  1  0  0  0  0  1  1  1  0  1  1  0  1  0  1  0 -252.25       1      0.0
2    0  1  0  0  1  0  0  0  0  0  0  1  1  0  1  1  0  0  1  1  1  1  0  1  0  1  1  1  1  0 -251.25       1      0.0
3    0  1  0  0  1  0  0  1  0  1  1  0  1  1  1  0  0  0  0  1  1  1  0  1  1  0  0  1  1  0 -251.25       1      0.0
4    0  1  0  0  0  1  0  0  0  1  0  1  1  0  1  0  0  0  1  1  1  1  0  1  0  0  0  1  1  0 -251.25       1      0.0
202  0  1  0  0  0  0  0  0  0  1  1  1  1  0  0  0  0  0  1  1  1  1  1  1  1  1  0  1  1  0 -251.25       1 0.033333
396  0  1  0  0  1  1  0  1  0  0  1  0  1  1  1  0  0  0  0  1  1  1  0  1  1  0  0  1  1  0 -251.25       1 0.066667
5    0  1  0  0  1  1  0  0  0  0  1  1  1  0  1  0  0  0  1  1  1  1  0  1  0  0  0  1  1  0  -251.0       1      0.0
97   1  0  0  1  0  1  1  0  1  1  0  1  0  0  0  1  1  1  1  0  0  0  1  1  0  1  1  0  0  1  -251.0       1 0.033333
6    0  1  0  0  1  0  0  0  1  0  1  1  1  1  1  0  0  0  1  1  1  1  0  1  0  0  0  1  1  0 -250.25       1      0.0
7    0  1  0  0  0  1  0  0  0  0  1  1  1  1  1  0  0  0  1  1  1  1  0  1  0  1  0  1  1  0 -250.25       1      0.0
8    0  1  0  0  0  1  0  0  1  1  0  1  1  1  0  1  0  0  0  1  1  1  0  1  0  0  0  1  1  0  -250.0       1      0.0
211  0  1  1  0  0  1  0  0  0  0  0  1  1  1  1  0  0  1  1  1  1  1  0  1  1  0  0  1  1  0  -250.0       1 0.033333
280  0  1  0  0  1  0  0  0  0  1  1  0  1  1  1  1  0  0  0  1  1  1  0  0  1  0  0  1  1  0  -250.0       1 0.033333
232  0  1  1  1  1  0  0  0  0  0  0  0  1  1  1  0  0  0  1  1  1  1  0  1  1  0  0  1  1  0 -249.25       1 0.033333
324  0  1  0  0  1  0  0  0  1  0  0  1  0  1  1  1  0  0  0  1  1  1  0  1  0  1  1  1  0  1 -249.25       1 0.033333
411  0  1  0  0  1  1  0  0  0  0  1  0  1  1  1  0  0  0  1  1  1  1  0  1  1  0  0  1  1  0 -249.25       1 0.066667
9    0  1  0  0  1  0  0  0  0  0  1  1  1  0  0  0  0  0  1  1  1  1  0  1  0  1  1  1  1  0  -249.0       1      0.0
10   0  1  1  0  0  0  0  0  1  1  0  0  1  1  1  0  0  0  1  1  1  1  0  1  1  0  1  1  1  0  -249.0       1      0.0
11   0  1  0  0  1  0  0  0  0  1  1  1  1  1  1  0  0  0  0  1  1  1  0  0  0  1  0  1  1  0  -249.0       1      0.0
12   0  1  1  1  1  0  0  0  0  0  0  1  1  1  1  0  0  0  1  1  1  1  0  1  1  0  0  0  1  0 -248.25       1      0.0
13   0  1  0  0  1  0  0  0  0  0  1  1  1  0  1  1  0  0  1  1  1  1  1  0  1  0  0  1  1  0 -248.25       1      0.0
14   0  1  0  0  1  1  0  0  0  0  1  1  1  0  0  1  0  0  1  1  1  1  1  1  0  0  0  1  1  0 -248.25       1      0.0
15   0  1  0  0  0  1  0  0  0  0  1  1  1  0  1  0  0  1  1  1  1  1  0  1  1  0  0  1  1  0 -248.25       1      0.0
16   0  1  1  0  0  0  0  0  0  0  0  1  1  1  0  0  0  0  1  1  1  1  0  1  1  1  1  1  1  0 -248.25       1      0.0
17   0  1  0  1  1  0  0  1  0  1  1  0  1  0  1  0  0  0  1  1  1  1  0  1  0  0  0  1  1  0 -248.25       1      0.0
453  0  1  0  0  0  0  0  0  0  1  1  1  1  0  0  0  0  0  1  1  1  1  1  1  1  0  0  1  1  1 -248.25       1 0.066667
18   0  1  0  0  1  1  0  0  0  0  1  0  1  1  1  0  0  0  0  1  1  1  0  1  1  0  0  1  1  0  -248.0       1      0.0
19   0  1  0  0  1  1  0  0  1  0  1  1  1  1  1  0  0  0  1  1  1  1  0  1  0  0  0  1  1  0  -248.0       1      0.0
20   0  1  0  1  1  0  0  1  0  1  1  0  1  1  1  0  0  0  0  1  1  1  0  1  1  0  0  1  1  0  -248.0       1      0.0
21   0  1  1  1  0  1  0  0  1  0  0  0  0  1  1  0  0  1  0  1  1  1  0  1  1  0  0  0  1  0  -248.0       1      0.0
22   0  1  0  0  0  1  0  0  1  0  0  0  1  1  0  0  0  0  0  1  1  1  0  1  1  0  1  1  1  1  -248.0       1      0.0
