--------------- DW_2000Q_6 ---------------
     0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39  energy num_oc. chain_.
62   0  1  1  1  0  1  0  0  0  1  1  0  0  1  0  0  0  1  0  1  0  1  1  1  0  0  1  1  0  0  1  0  1  1  1  1  1  0  0  0  -448.0       1   0.025
153  0  1  1  1  0  1  0  0  1  1  1  0  0  1  0  0  0  1  0  1  0  0  1  1  0  0  1  0  0  0  1  0  1  1  1  1  1  0  0  0 -446.75       1   0.075
0    1  1  1  1  1  1  0  0  1  0  1  0  0  1  0  0  1  1  0  0  1  0  1  1  0  0  1  1  1  0  0  0  1  1  1  1  0  0  0  0 -444.75       1     0.0
312  1  0  0  0  1  0  1  0  0  0  0  1  1  0  1  1  1  1  1  0  1  1  0  0  0  1  0  1  1  0  0  1  0  0  1  0  0  1  1  1  -444.0       1     0.1
257  1  0  0  0  1  1  1  0  1  0  0  1  1  0  0  0  1  0  1  1  1  1  0  0  0  1  0  1  1  1  0  1  0  0  0  0  1  1  1  1 -443.75       1   0.075
386  0  1  1  1  0  1  0  0  1  1  1  0  0  1  1  0  0  0  0  1  0  0  1  1  0  0  1  0  0  0  1  0  1  1  1  1  1  0  0  0 -443.75       1     0.1
114  0  1  1  1  0  1  0  0  1  0  1  0  0  0  0  1  1  1  1  1  1  1  1  1  0  0  1  0  0  0  0  1  0  1  1  1  0  0  0  0  -443.0       1   0.025
1    1  1  1  1  0  1  0  0  1  0  1  0  0  1  0  0  0  0  1  1  1  0  1  1  1  0  1  0  1  1  1  0  0  0  1  0  0  1  0  1 -442.75       1     0.0
83   0  1  1  1  1  1  0  0  1  0  1  0  0  1  0  0  0  1  0  1  1  1  1  1  0  0  1  1  0  0  1  0  1  1  1  1  0  0  0  0 -442.75       1   0.025
170  0  1  1  0  0  1  0  0  0  1  1  0  0  1  0  0  0  1  0  1  0  0  1  1  1  0  1  1  0  0  1  0  1  1  1  1  1  0  0  0 -442.75       1    0.05
194  0  1  1  1  0  1  0  1  1  1  1  0  0  1  1  0  0  1  0  0  0  0  1  1  1  0  1  0  0  1  1  0  1  1  1  1  0  0  0  0 -442.75       1    0.05
2    1  0  1  1  0  1  1  0  1  0  1  0  1  0  0  0  0  1  1  1  1  1  1  0  0  0  0  0  1  0  0  1  0  1  0  1  1  0  1  0  -442.0       1     0.0
89   1  1  1  1  0  1  1  1  1  0  1  0  0  1  0  0  0  1  0  1  1  0  1  1  0  0  1  0  0  0  0  1  0  1  1  1  0  0  0  0  -442.0       1   0.025
272  0  1  1  0  0  1  1  0  1  1  1  0  0  1  0  0  0  1  0  0  1  0  1  1  1  0  1  0  1  0  1  0  1  1  1  1  0  0  0  0  -442.0       1    0.05
3    1  1  1  0  0  1  1  0  1  0  0  0  0  1  0  0  0  1  0  1  1  0  1  1  0  0  1  0  1  1  0  1  0  0  1  1  0  0  0  1 -441.75       1     0.0
87   1  0  0  0  1  0  1  1  0  1  1  1  1  0  0  1  1  1  1  0  1  1  0  0  0  1  0  0  0  1  0  1  0  1  0  0  1  0  1  1 -441.75       1   0.025
4    1  1  1  0  0  1  0  1  1  0  0  0  0  1  0  0  0  1  1  1  1  1  1  1  1  0  1  0  0  0  0  0  0  1  1  1  0  0  0  1  -441.0       1     0.0
77   0  1  1  1  0  1  0  0  1  1  1  1  0  1  0  0  0  0  0  1  0  0  1  1  0  0  1  0  0  1  1  0  1  1  1  1  1  0  0  0  -441.0       1   0.025
192  1  0  0  0  0  0  1  1  1  0  0  0  1  0  1  1  1  1  1  0  1  1  0  0  1  0  0  1  1  1  0  1  0  1  0  0  0  0  1  1  -441.0       1    0.05
5    0  0  1  0  0  1  0  1  0  1  1  0  0  1  1  0  0  1  0  1  0  1  1  1  1  0  1  0  0  1  0  0  1  1  1  1  0  0  0  0 -440.75       1     0.0
6    0  1  1  1  0  1  0  0  1  0  1  0  0  1  0  0  0  1  0  1  0  0  1  1  1  0  1  0  0  1  1  0  1  1  1  1  0  0  0  0 -440.75       1     0.0
7    0  1  0  1  0  1  0  1  1  0  1  0  0  1  0  0  0  1  1  0  0  0  1  1  1  0  1  0  0  0  1  0  1  1  1  1  0  0  0  1 -440.75       1     0.0
8    0  1  1  1  0  1  0  0  1  0  1  0  0  1  0  0  1  1  0  0  1  0  1  1  0  0  1  1  0  0  1  0  1  1  1  1  0  0  0  0 -440.75       1     0.0
99   0  1  1  1  0  1  0  0  1  1  1  0  0  1  1  0  0  1  0  1  0  0  1  1  0  0  1  0  0  0  1  0  1  1  1  1  0  0  0  0 -440.75       1   0.025
205  0  1  1  1  0  1  0  1  1  1  1  1  0  0  0  0  0  1  0  0  0  0  1  1  1  0  1  0  0  0  1  0  1  1  1  1  0  0  0  0 -440.75       1    0.05
9    1  1  1  0  0  1  0  1  1  1  1  0  0  1  0  0  0  0  0  1  1  0  1  1  1  0  1  0  0  1  1  0  1  1  0  1  0  0  0  0  -440.0       1     0.0
10   1  0  1  1  0  1  0  1  1  0  1  0  0  1  1  0  0  1  0  1  1  0  1  1  0  0  1  0  0  0  1  0  1  1  1  1  0  0  0  0  -440.0       1     0.0
140  1  0  0  0  1  0  1  0  1  0  0  1  1  0  0  1  1  0  1  0  1  1  0  0  1  1  1  1  1  1  0  1  1  0  0  0  0  1  1  1  -440.0       1   0.025
218  1  0  0  0  1  1  0  0  1  0  0  1  1  0  0  1  1  0  1  1  1  1  0  0  0  1  0  0  1  1  0  1  0  0  0  0  1  1  1  1  -440.0       1   0.075
11   1  0  1  0  1  0  0  1  0  0  1  1  1  1  0  1  1  1  0  0  1  1  0  0  1  0  0  0  1  0  0  0  0  0  1  1  0  0  1  1 -439.75       1     0.0
12   1  0  1  1  0  1  0  0  0  1  1  0  0  1  0  0  0  1  0  1  1  0  1  1  0  0  1  0  0  0  1  1  1  1  1  1  1  0  1  0 -439.75       1     0.0
13   0  1  1  1  0  1  0  0  1  1  1  0  0  1  0  0  0  0  0  1  0  0  1  1  0  0  1  0  0  0  1  1  1  1  1  1  1  0  0  0 -439.75       1     0.0
14   0  0  1  1  0  0  0  1  0  0  1  0  0  0  1  1  1  1  1  0  1  1  1  0  1  0  1  0  1  1  0  1  1  1  1  0  0  0  0  1 -439.75       1     0.0
86   0  1  1  1  0  1  0  0  1  1  1  0  0  1  0  0  0  1  0  1  1  0  1  0  0  0  1  0  0  0  1  0  1  1  1  1  1  0  0  0 -439.75       1   0.025
93   1  0  1  0  0  1  0  1  1  0  1  0  1  0  1  1  0  1  1  0  1  1  0  0  0  0  0  1  0  1  0  0  0  1  0  1  1  1  1  1 -439.75       1   0.025
101  1  1  1  1  0  1  0  0  1  0  1  0  0  1  0  0  0  0  0  0  1  0  1  1  0  0  1  1  0  1  1  0  1  1  1  1  0  0  0  0 -439.75       1   0.025
233  0  1  1  0  0  1  0  0  1  1  1  0  1  0  0  0  0  1  0  1  1  1  1  1  0  1  1  1  0  0  0  0  1  1  0  1  1  1  0  0 -439.75       1    0.05
337  1  0  0  0  1  0  0  0  1  0  0  1  1  0  1  0  1  1  1  0  1  0  1  0  1  0  1  1  1  1  0  0  1  0  0  0  0  1  0  1 -439.75       1    0.05
15   1  1  0  1  0  1  0  0  1  0  1  0  0  1  1  1  0  1  0  0  1  0  1  1  1  0  1  0  1  0  1  0  1  1  0  1  0  0  0  0  -439.0       1     0.0
16   0  0  1  1  0  1  1  0  1  0  1  0  0  1  0  0  0  1  0  1  1  1  1  1  1  0  1  0  1  0  1  0  1  1  0  1  0  0  0  0  -439.0       1     0.0
17   1  1  0  1  0  1  1  0  1  1  0  0  0  1  0  0  0  0  0  0  1  0  1  1  1  0  1  0  1  1  1  0  0  0  1  1  0  0  0  0  -439.0       1     0.0
68   0  0  1  1  0  0  0  1  1  1  1  0  0  1  1  0  0  1  0  1  0  0  1  1  1  0  1  0  0  1  1  0  1  1  1  1  0  0  0  0  -439.0       1   0.025
84   0  1  1  1  0  1  0  1  1  1  1  0  0  1  1  0  0  0  0  0  0  0  1  1  1  0  1  0  0  0  1  1  1  1  1  1  0  0  0  0  -439.0       1   0.025
151  1  0  0  0  1  0  1  0  1  0  0  1  1  0  0  1  1  1  1  0  1  1  0  0  0  1  0  1  1  1  0  1  0  0  0  0  1  0  1  1  -439.0       1    0.05
156  0  0  0  0  0  0  1  0  1  0  0  1  1  0  1  1  1  1  1  1  1  1  0  0  0  0  0  1  0  1  0  1  0  1  0  1  0  1  1  1  -439.0       1    0.05
241  0  1  1  0  0  1  0  1  1  1  1  0  0  1  0  0  0  1  0  0  0  1  1  1  0  0  1  1  0  1  1  0  1  1  1  1  0  0  0  0  -439.0       1    0.05
18   0  1  1  1  1  1  0  0  1  0  0  0  0  1  0  0  0  1  1  1  0  0  1  1  0  0  1  1  0  0  1  0  1  1  0  1  1  1  0  1 -438.75       1     0.0
19   1  0  1  1  0  1  0  0  1  1  1  0  0  1  0  0  0  0  0  1  1  0  1  1  1  0  1  0  0  1  1  0  0  1  1  1  0  0  0  0 -438.75       1     0.0
88   0  1  1  1  0  1  1  0  1  0  1  0  0  1  0  0  0  1  0  1  0  0  1  1  0  0  1  0  1  0  1  0  1  1  1  1  0  0  0  0 -438.75       1   0.025
145  1  0  0  0  1  0  1  0  1  0  0  1  1  0  1  1  1  1  1  0  1  1  0  0  0  1  0  1  0  1  0  1  0  0  0  0  1  1  1  1 -438.75       1    0.05
188  0  1  1  1  0  1  0  0  1  0  1  0  0  1  0  0  0  1  0  1  1  1  1  1  0  0  1  0  0  1  1  1  0  0  1  1  0  0  0  0 -438.75       1    0.05
214  0  1  1  1  0  1  0  0  1  1  0  0  0  1  0  0  0  1  0  1  0  0  1  1  0  0  1  0  0  1  1  0  1  1  1  1  0  1  0  0 -438.75       1    0.05
20   1  0  0  0  1  0  1  1  0  0  0  1  1  0  0  1  1  0  1  0  1  1  0  0  1  0  0  1  1  1  0  1  0  0  0  0  1  1  1  1  -438.0       1     0.0
21   0  1  1  0  1  1  1  0  0  0  1  0  1  1  0  0  0  1  0  1  1  1  1  1  0  0  0  1  1  0  0  0  1  1  0  1  0  0  0  1  -438.0       1     0.0
