--------------- DW_2000Q_6 ---------------
     0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49  energy num_oc. chain_.
0    1  1  1  0  0  0  1  1  1  1  0  1  0  0  0  0  0  1  0  0  0  1  0  1  1  0  1  0  1  1  1  0  0  1  1  1  0  0  0  0  1  0  0  0  1  1  0  1  1  1 -680.25       1     0.0
1    1  1  1  0  0  1  1  0  1  1  1  1  0  0  0  1  0  1  0  1  0  1  1  1  1  0  0  0  1  0  1  0  0  1  1  1  0  0  0  0  1  0  0  0  0  0  0  1  1  1 -680.25       1     0.0
150  0  1  1  0  1  1  1  1  1  1  0  1  1  1  0  1  0  1  0  1  0  1  1  0  0  0  0  0  1  0  1  0  0  1  0  1  1  0  0  0  1  0  0  0  1  0  0  1  1  1  -680.0       1    0.02
2    1  1  1  1  1  1  1  0  1  1  0  1  0  1  0  1  0  1  0  0  0  0  1  1  1  0  1  0  1  0  1  0  0  1  0  1  1  0  0  0  1  0  0  0  1  0  0  1  1  1 -679.25       1     0.0
3    1  1  1  0  1  1  1  1  1  1  0  1  0  1  0  1  0  0  0  1  0  1  1  1  0  0  1  0  1  0  0  0  0  1  0  1  0  0  1  0  0  0  0  0  1  1  0  1  0  1 -679.25       1     0.0
4    1  1  1  0  0  0  1  1  1  0  0  1  0  0  0  1  0  0  0  1  0  1  1  0  1  0  1  0  1  0  1  0  1  1  0  1  1  0  1  0  1  0  0  0  1  1  0  1  1  1  -679.0       1     0.0
289  0  1  1  0  1  1  1  1  1  1  0  1  0  1  0  1  0  1  0  1  0  1  1  1  1  0  1  0  0  0  1  0  0  1  0  1  0  0  0  0  1  0  0  0  1  1  0  1  0  1  -679.0       1    0.04
5    1  1  1  0  1  1  1  0  1  1  1  1  0  0  0  0  0  0  0  1  0  1  1  1  0  0  0  0  1  0  0  0  0  1  1  1  0  0  0  0  1  0  0  0  1  1  0  1  1  1  -676.0       1     0.0
225  1  1  1  0  0  0  1  0  1  1  1  1  0  0  0  1  0  0  0  0  0  1  0  1  0  0  0  1  0  1  1  0  1  1  1  1  0  1  0  1  1  0  1  0  0  0  0  1  1  1 -674.25       1    0.02
6    1  1  1  0  1  1  1  0  1  0  0  1  0  0  0  1  1  1  0  1  0  1  1  0  1  0  1  0  1  0  1  0  1  1  0  1  1  0  0  0  0  0  0  0  1  0  0  1  1  1  -674.0       1     0.0
413  1  1  1  0  1  1  1  1  1  1  0  1  0  0  0  1  0  1  0  1  0  1  1  1  1  0  0  1  1  0  1  0  1  1  0  0  0  0  0  0  1  0  0  0  1  1  0  1  0  1 -673.25       1    0.06
7    1  1  0  0  1  1  1  1  1  1  0  1  0  1  0  1  0  1  1  0  0  1  1  1  0  0  0  0  1  0  1  0  0  0  0  1  0  0  0  0  1  0  0  0  1  0  0  1  1  1  -673.0       1     0.0
8    1  1  1  0  1  0  0  1  0  1  0  1  0  0  1  0  1  1  0  1  0  1  0  0  1  0  0  0  0  0  1  0  1  1  0  1  1  1  1  1  1  0  0  0  0  1  0  1  1  1  -673.0       1     0.0
311  1  1  1  0  1  1  1  0  1  0  0  1  0  1  1  1  1  1  0  1  0  1  0  0  1  0  0  0  0  0  1  1  0  1  1  1  0  0  0  0  0  0  0  0  1  1  0  1  1  1  -673.0       1    0.04
9    1  1  1  0  1  1  1  1  1  1  0  1  0  0  1  0  0  0  0  1  0  1  1  0  0  0  0  0  1  1  1  0  1  1  1  1  1  0  0  0  1  0  0  0  1  0  0  1  1  1 -672.25       1     0.0
10   1  1  1  0  0  0  1  1  1  1  0  1  0  1  0  1  0  1  0  1  0  1  1  1  0  0  0  0  0  0  1  0  1  0  1  1  1  0  0  0  1  0  0  0  1  1  0  1  0  1 -672.25       1     0.0
315  1  1  1  0  1  1  1  0  1  1  1  1  0  0  0  1  0  1  0  1  0  1  1  0  1  0  0  1  1  0  1  0  0  1  0  0  0  0  1  0  1  0  0  0  1  1  0  1  1  1 -671.25       1    0.04
11   1  1  1  0  1  1  0  1  1  1  0  1  0  0  0  1  0  1  0  1  0  1  0  1  1  0  1  0  1  0  0  0  1  1  0  1  0  0  1  0  1  1  0  0  0  0  0  1  1  1  -671.0       1     0.0
193  0  1  1  1  0  0  0  1  0  0  1  1  0  0  0  1  1  1  0  1  0  1  0  1  0  0  1  1  0  1  1  0  0  1  0  1  0  0  1  0  1  0  1  0  1  1  0  1  1  1  -671.0       1    0.02
12   1  1  1  0  1  1  1  1  1  1  0  1  0  1  0  0  0  1  0  1  0  1  1  0  1  0  1  0  1  0  0  0  0  1  0  1  0  0  0  1  1  0  0  0  0  1  0  1  1  1  -670.0       1     0.0
13   1  1  1  0  0  0  1  0  1  1  0  1  0  0  0  1  0  1  0  1  0  1  0  0  0  0  1  0  0  0  1  1  1  1  1  1  0  0  0  1  1  0  1  1  0  1  0  1  1  1  -670.0       1     0.0
172  1  1  1  0  1  1  1  1  1  1  0  1  0  1  0  1  0  1  0  1  0  1  1  1  1  0  0  0  0  0  1  0  1  1  0  1  0  0  0  1  1  0  0  0  1  1  0  1  0  1  -670.0       1    0.02
14   1  1  0  0  0  0  1  0  0  1  0  0  1  1  1  1  0  0  0  0  1  1  1  0  0  0  0  0  0  0  1  0  0  0  1  1  0  1  0  0  0  1  1  0  1  1  1  1  1  1 -669.25       1     0.0
15   1  0  1  1  1  1  0  1  0  1  0  1  1  1  1  1  0  0  1  0  0  0  1  0  0  0  0  0  1  0  1  0  0  1  0  1  1  0  0  0  1  0  0  0  1  0  0  1  1  1  -669.0       1     0.0
16   1  1  1  0  0  1  1  0  1  0  0  1  0  0  1  1  0  0  0  1  0  1  0  1  0  0  0  0  0  1  1  0  0  1  1  1  1  0  1  0  0  1  0  1  1  1  0  1  1  1  -669.0       1     0.0
17   1  1  1  0  0  0  1  1  1  0  0  1  0  1  0  1  0  1  0  1  0  1  1  0  1  0  1  0  0  1  0  0  0  0  1  1  1  0  1  1  0  0  0  0  1  0  0  1  1  1 -668.25       1     0.0
18   1  1  1  1  1  1  1  0  1  1  1  1  0  0  0  1  0  1  0  1  0  1  0  0  0  0  0  1  0  0  1  0  1  0  0  1  0  0  0  0  1  0  1  0  1  0  0  1  1  1 -668.25       1     0.0
19   0  1  1  0  0  1  0  1  0  1  0  1  0  0  0  1  1  1  0  1  0  1  0  1  1  0  1  1  1  0  1  0  0  1  1  1  0  0  0  0  1  1  0  0  1  1  0  1  1  1 -668.25       1     0.0
183  0  0  1  0  1  1  0  1  1  1  0  1  0  1  0  1  1  0  0  1  0  1  0  1  1  0  1  1  0  0  1  0  0  1  1  1  1  0  0  0  0  0  0  0  1  1  0  1  0  1 -668.25       1    0.02
427  1  0  1  0  0  0  1  1  1  1  1  1  0  0  0  1  0  0  1  1  0  1  1  1  0  0  0  0  1  0  0  1  0  0  1  1  0  0  1  0  1  0  1  0  1  0  0  1  1  1 -668.25       1    0.06
20   0  1  1  0  1  1  0  0  1  1  1  1  1  0  0  1  0  1  0  0  0  0  1  0  0  1  1  0  1  1  1  0  0  1  0  0  1  0  0  0  0  1  0  1  1  1  0  1  1  1  -668.0       1     0.0
21   1  1  1  0  1  1  1  1  1  1  0  1  0  0  0  1  1  1  0  1  0  1  1  1  0  0  0  1  1  0  1  0  0  0  1  1  0  0  1  0  0  0  0  0  1  0  0  1  0  1  -668.0       1     0.0
194  1  1  1  0  0  0  1  0  1  0  1  1  1  0  0  1  0  0  0  0  0  0  1  1  0  1  1  0  1  1  0  1  0  1  1  1  0  1  0  0  0  0  1  0  0  1  1  1  1  1  -668.0       1    0.02
202  0  1  0  0  0  1  1  1  1  1  0  1  0  0  0  0  1  1  0  1  0  1  1  0  1  0  0  0  1  0  0  1  0  1  1  1  0  0  0  1  1  0  0  0  1  1  0  1  0  1  -668.0       1    0.02
22   1  1  1  0  1  0  1  0  1  1  0  1  0  0  0  1  1  1  0  0  0  1  0  0  0  0  1  1  0  0  1  0  1  1  1  1  1  0  0  0  1  0  1  0  1  1  0  1  1  1 -667.25       1     0.0
23   1  0  0  0  0  1  0  1  1  1  1  1  0  0  0  1  0  1  0  1  0  1  0  0  1  0  1  0  1  1  0  1  1  1  1  0  1  0  0  1  1  0  0  0  0  1  1  0  0  1 -667.25       1     0.0
24   1  1  1  0  0  1  1  1  1  0  0  0  0  0  1  0  1  1  0  1  0  1  0  1  1  0  0  1  1  0  0  0  1  1  0  0  0  0  1  1  1  1  0  0  0  0  0  1  1  1 -667.25       1     0.0
