--------------- DW_2000Q_6 ---------------
     0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59  energy num_oc. chain_b.
11   1  1  0  0  1  0  1  1  1  0  1  0  0  0  0  0  1  1  1  1  1  0  0  0  0  0  0  1  0  0  1  1  1  0  1  0  1  1  1  0  1  0  0  1  0  1  1  1  0  0  1  0  0  1  0  1  1  1  0  0  -709.0       1 0.016667
0    0  0  0  1  1  1  1  1  0  1  0  0  0  0  0  0  1  1  0  1  1  1  0  0  1  0  0  1  1  0  0  1  0  1  1  1  1  0  0  1  1  0  0  0  0  1  1  1  0  0  1  0  0  0  1  1  1  0  0  1 -707.75       1      0.0
1    0  1  0  0  0  1  0  1  1  0  1  1  1  0  0  0  1  0  1  1  1  0  0  0  0  0  1  1  1  0  0  1  1  0  1  1  1  1  1  0  1  0  1  1  0  0  1  0  1  1  0  0  0  0  0  1  1  0  1  0  -707.0       1      0.0
71   0  0  1  0  1  0  1  1  1  0  0  1  0  0  0  1  1  1  0  1  1  1  0  0  0  0  0  1  1  1  1  1  0  0  1  1  0  0  0  0  0  0  0  0  0  0  1  1  1  1  1  0  0  1  1  1  1  0  0  0  -706.0       1 0.033333
2    0  0  1  0  1  1  0  1  1  0  0  1  0  0  0  0  1  0  1  1  1  1  1  0  0  0  0  1  1  1  1  1  0  0  1  0  1  1  0  1  1  0  0  0  1  1  1  1  0  0  1  0  0  0  0  1  1  0  0  0 -705.75       1      0.0
92   1  0  0  1  1  1  1  1  1  0  0  1  0  0  0  0  1  1  1  1  1  1  0  0  0  0  1  0  0  1  1  1  0  0  0  0  0  0  0  0  1  0  0  0  0  0  1  1  0  1  1  0  0  1  0  0  1  1  1  1  -702.0       1 0.033333
79   1  1  0  0  1  1  0  1  1  0  1  1  1  0  1  0  0  1  1  0  1  1  1  0  0  0  0  1  1  0  1  1  0  1  1  1  0  1  0  0  1  0  0  0  0  1  1  0  0  0  0  0  0  1  0  0  1  1  1  0  -699.0       1 0.033333
154  0  1  0  1  1  1  0  1  0  0  1  0  1  0  0  0  1  1  0  0  1  1  1  0  0  1  0  1  1  1  1  1  0  0  1  1  1  0  0  1  1  0  0  0  1  1  1  1  0  0  0  0  0  0  0  1  1  0  0  1  -699.0       1     0.05
3    1  0  1  1  1  1  1  1  0  1  0  0  1  0  0  0  0  1  1  0  1  0  1  1  1  1  0  1  1  0  1  0  0  1  0  1  1  0  0  1  1  0  0  0  1  1  0  0  0  1  1  0  0  0  0  1  1  0  1  1  -698.0       1      0.0
4    0  1  0  1  1  1  0  1  0  0  1  1  1  1  1  0  0  1  1  1  1  1  0  0  0  0  0  1  0  0  1  1  1  0  1  1  0  1  0  0  1  0  0  1  1  0  0  1  0  0  0  0  1  1  0  0  1  1  0  0  -698.0       1      0.0
5    1  0  0  0  1  1  0  1  0  1  1  0  0  0  1  0  1  1  1  0  1  1  1  0  0  0  0  1  1  0  1  1  1  0  1  1  1  0  0  1  1  0  0  0  1  1  1  1  0  0  0  0  0  0  0  1  1  0  0  0 -697.75       1      0.0
119  1  1  1  1  1  1  0  1  1  1  1  1  1  0  0  1  0  1  1  1  0  0  0  0  0  0  0  0  1  0  1  1  0  1  1  1  0  1  1  0  1  0  0  1  0  1  1  0  0  0  0  0  0  0  0  0  0  0  1  0 -697.75       1 0.016667
199  0  1  1  1  1  1  0  0  0  1  1  1  1  1  1  0  0  1  1  0  0  1  1  0  0  0  0  0  1  0  0  0  1  0  1  1  1  0  1  1  1  0  0  0  1  1  1  1  0  0  0  1  0  1  0  0  0  0  0  0 -697.75       1 0.083333
