--------------- DW_2000Q_6 ---------------
     0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29  energy num_oc. chain_b.
0    1  1  0  1  0  0  0  0  0  1  0  1  1  0  1  0  1  1  1  0  0  0  1  1  0  0  1  1  1  0 -128.25       1      0.0
1    0  0  1  0  1  1  1  1  0  1  1  0  0  1  1  1  0  0  0  0  1  1  0  0  0  1  1  0  0  1 -128.25       2      0.0
2    0  1  0  1  1  0  1  0  0  1  0  1  1  0  1  0  0  1  1  0  0  0  1  0  0  1  1  1  0  0  -128.0       1      0.0
3    0  0  1  0  1  1  1  1  0  1  1  0  0  1  1  1  1  0  0  0  1  1  0  0  0  1  1  0  0  1  -128.0       1      0.0
4    0  1  0  1  0  0  1  0  0  1  0  1  1  0  1  0  1  1  1  0  0  0  1  0  0  1  1  1  0  0  -127.0       1      0.0
5    1  1  0  1  0  0  0  0  0  1  0  1  1  0  1  1  0  1  1  0  0  0  1  1  0  0  1  1  0  0  -127.0       1      0.0
6    0  1  0  1  0  0  0  0  0  1  0  1  1  0  1  1  1  1  1  0  0  0  1  1  1  0  0  1  0  0  -127.0       1      0.0
7    1  0  1  0  1  1  0  1  1  0  1  0  0  1  0  1  0  0  0  0  1  1  0  0  0  1  1  0  0  1  -127.0       1      0.0
8    1  1  0  1  0  0  1  0  0  1  0  1  1  0  1  0  0  1  1  0  0  0  1  1  0  1  1  1  0  0 -126.25       1      0.0
9    0  1  0  1  1  0  1  0  0  1  0  1  1  0  1  0  1  0  1  0  0  0  1  0  1  1  0  1  1  0 -126.25       1      0.0
10   0  0  1  0  1  1  1  1  0  1  1  0  0  1  1  1  1  0  0  0  0  1  0  0  0  1  0  1  0  1 -126.25       1      0.0
11   0  0  1  0  1  1  1  0  1  0  1  0  0  1  1  1  0  0  0  1  1  1  0  0  0  1  1  0  0  1 -126.25       1      0.0
328  0  1  0  1  0  0  0  0  0  1  0  1  1  0  1  1  1  1  1  0  0  0  1  1  0  0  1  1  1  0 -126.25       1 0.033333
12   1  0  1  0  0  1  0  1  1  0  1  0  0  1  0  1  0  0  0  1  1  1  0  1  0  0  0  0  1  1  -126.0       1      0.0
13   0  1  0  1  1  0  1  0  0  1  1  1  1  0  1  0  1  1  1  0  0  0  1  0  0  1  1  1  0  0  -126.0       1      0.0
14   1  1  0  1  1  0  0  0  0  1  0  1  1  0  1  0  1  1  1  0  0  0  1  1  0  1  1  1  0  0  -126.0       1      0.0
15   0  1  0  1  0  1  0  0  0  0  0  1  1  0  1  0  0  1  1  0  1  0  1  1  0  1  1  1  0  0  -126.0       1      0.0
16   1  0  1  0  1  1  1  1  1  0  1  0  0  1  0  1  1  0  0  1  0  1  0  0  0  1  0  1  0  1  -126.0       1      0.0
17   0  0  1  0  1  1  1  1  0  1  1  0  0  1  1  1  1  0  0  0  0  1  0  0  0  1  1  1  0  1  -126.0       1      0.0
18   1  1  1  0  1  1  0  1  1  0  0  1  0  0  0  1  0  1  0  0  1  0  0  1  0  1  1  1  0  1  -126.0       1      0.0
19   1  1  0  1  0  1  0  0  1  0  0  1  1  0  1  1  0  1  1  0  0  0  1  1  0  0  1  1  0  0 -125.25       1      0.0
20   0  1  0  1  0  0  1  0  0  1  0  1  1  0  1  0  1  0  1  0  0  1  1  0  1  1  0  1  1  0 -125.25       1      0.0
21   1  1  0  1  1  0  1  0  0  1  0  1  1  0  1  0  1  0  1  0  0  0  1  0  0  1  1  1  0  0 -125.25       1      0.0
363  0  0  1  0  1  1  1  1  0  0  1  1  0  1  1  0  0  0  1  1  1  0  0  0  0  1  1  0  0  1 -125.25       1 0.033333
22   1  1  0  1  1  0  0  0  0  1  0  1  1  0  1  1  1  1  1  0  0  0  1  0  0  1  1  1  0  0  -125.0       1      0.0
23   0  0  1  0  1  1  1  1  0  0  1  0  0  1  1  1  1  0  1  1  0  1  0  0  0  1  1  0  0  1  -125.0       1      0.0
24   1  0  1  0  1  1  0  0  1  0  0  1  0  1  1  1  0  1  0  1  1  0  0  1  0  1  1  0  0  1  -125.0       1      0.0
25   0  0  1  0  1  1  0  1  1  1  1  1  0  1  0  1  0  0  0  1  1  1  0  0  1  1  0  0  0  1  -125.0       1      0.0
26   0  0  1  0  0  1  1  1  0  0  1  0  0  1  1  1  0  0  0  1  1  1  0  0  1  1  0  0  0  1  -125.0       1      0.0
27   1  0  1  0  1  1  0  1  1  0  1  0  0  0  0  1  0  0  0  1  1  1  0  0  0  1  1  0  0  1  -125.0       1      0.0
28   0  1  0  1  1  0  0  0  0  1  0  1  1  0  1  0  1  1  1  0  0  0  1  1  1  1  0  1  1  0  -125.0       1      0.0
29   0  0  1  0  1  1  0  1  0  1  1  0  0  1  1  1  0  0  0  1  1  1  1  0  0  1  1  0  0  1  -125.0       1      0.0
30   0  0  1  0  1  1  1  0  0  1  1  0  0  1  1  1  1  0  0  0  0  1  0  0  0  1  1  0  0  1  -125.0       1      0.0
31   1  0  1  0  0  1  0  1  1  0  0  1  0  1  0  1  1  1  0  0  1  0  0  1  0  1  1  0  0  1 -124.25       1      0.0
32   0  1  0  1  0  0  1  0  0  1  0  1  1  0  1  1  1  1  1  0  0  0  1  1  1  0  0  1  0  0 -124.25       1      0.0
33   1  1  0  1  0  1  0  0  0  0  0  1  1  0  1  0  0  1  1  0  0  0  1  1  0  0  0  1  1  0 -124.25       1      0.0
34   0  1  1  0  1  1  1  1  0  0  1  0  0  1  1  0  0  0  1  0  1  1  0  0  0  1  1  0  0  1 -124.25       1      0.0
35   0  0  1  0  0  1  1  1  1  0  1  0  0  1  1  1  0  0  0  1  0  1  1  0  0  1  1  0  0  1 -124.25       1      0.0
36   0  0  1  0  0  1  0  0  1  1  1  0  0  1  1  1  0  0  0  1  1  1  1  0  0  1  1  0  0  1 -124.25       1      0.0
37   0  0  1  0  1  1  0  0  1  0  0  1  0  0  1  1  0  1  0  1  1  0  0  1  0  0  1  1  1  1 -124.25       1      0.0
38   1  1  1  0  1  1  0  0  1  0  0  1  0  0  1  1  0  1  0  0  1  0  0  1  0  0  1  1  0  1 -124.25       1      0.0
39   0  0  0  1  1  0  1  0  0  1  0  1  1  1  1  0  1  1  1  0  0  0  1  0  0  1  0  1  1  0 -124.25       1      0.0
378  1  1  0  1  1  1  1  0  0  1  1  0  1  0  1  0  0  0  1  0  0  1  1  0  0  1  1  0  0  0 -124.25       1 0.033333
40   0  0  1  0  1  1  1  1  0  0  1  0  0  1  1  1  0  1  1  1  1  0  0  0  0  1  1  0  0  1  -124.0       1      0.0
41   1  0  0  1  1  0  1  0  0  1  1  0  1  1  1  0  1  0  1  1  0  1  1  0  0  1  1  0  0  0  -124.0       1      0.0
42   1  0  1  0  1  1  1  1  0  1  1  0  0  1  0  1  1  0  0  1  0  1  0  0  0  1  0  0  1  1  -124.0       1      0.0
43   0  1  0  1  1  0  1  0  0  1  0  1  1  0  1  0  0  1  1  1  0  0  1  0  0  1  1  0  0  0  -124.0       1      0.0
44   0  1  0  1  1  0  1  0  0  1  1  1  1  1  1  0  0  1  1  0  0  0  1  0  0  1  1  1  0  0  -124.0       1      0.0
45   1  1  0  1  1  0  0  0  0  1  0  1  1  0  1  0  0  1  1  0  0  1  1  1  0  1  1  1  0  0  -124.0       1      0.0
46   0  1  0  1  0  1  0  0  0  0  0  1  1  0  1  0  0  1  1  0  0  0  1  1  0  1  1  1  0  1  -124.0       1      0.0
47   0  0  1  0  1  1  0  0  0  1  1  0  0  1  1  1  0  0  0  1  1  1  0  0  0  1  1  0  0  1  -124.0       1      0.0
48   0  0  1  0  0  0  1  1  0  1  1  0  0  1  1  1  1  0  0  0  0  1  0  0  1  1  1  0  0  1  -124.0       1      0.0
49   1  0  1  0  1  1  0  1  0  0  1  0  0  1  1  1  0  0  0  1  1  1  0  1  0  1  1  0  0  1  -124.0       1      0.0
50   1  0  1  0  1  1  1  1  0  0  1  0  0  1  1  1  1  0  0  0  1  1  0  0  0  1  0  1  0  1  -124.0       1      0.0
