--------------- DW_2000Q_6 ---------------
    0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59  energy num_oc. chain_b.
8    1  0  0  0  1  0  0  0  1  0  0  0  1  0  1  0  1  0  0  1  1  1  1  1  0  1  1  1  1  1  0  1  1  1  0  1  0  1  1  1  0  1  0  0  0  0  0  0  0  0  1  0  1  1  0  0  1  1  1  0  -460.0       1 0.016667
9    1  1  0  0  1  0  1  1  0  0  1  1  1  0  1  0  1  1  0  0  0  1  0  0  0  1  0  1  1  0  0  1  1  1  1  1  1  1  0  0  1  1  1  0  0  1  0  0  0  1  1  0  0  1  0  1  0  0  1  1  -456.0       1 0.016667
23   0  1  0  0  1  0  0  0  1  0  1  0  1  0  1  0  0  1  0  0  0  1  0  1  0  1  1  1  1  1  0  1  1  0  1  1  1  1  1  1  0  1  1  0  1  1  0  0  0  0  0  0  1  1  0  1  1  1  0  0 -453.75       1 0.016667
40   0  1  0  0  1  0  0  0  0  0  1  1  1  0  1  1  0  1  0  1  0  1  0  1  0  1  0  1  1  0  0  0  1  1  0  1  1  1  0  1  0  0  1  0  1  1  1  1  1  0  1  0  0  1  0  1  1  0  1  0 -453.75       1 0.016667
53   1  1  1  0  1  0  0  0  1  0  0  1  1  0  1  1  1  0  0  1  1  0  1  1  0  0  0  1  1  1  1  1  1  0  0  1  1  1  1  1  0  0  1  0  0  0  0  0  1  0  0  0  1  1  0  0  1  0  1  0 -452.75       1 0.016667
0    0  1  0  0  1  0  0  0  0  0  1  0  1  0  1  0  0  1  0  0  0  1  0  1  0  0  1  1  1  0  0  1  1  1  1  1  0  1  0  1  1  1  1  0  0  1  0  1  0  0  1  1  1  0  0  1  1  0  1  1  -450.0       1      0.0
33   0  1  0  0  0  0  1  0  0  1  0  1  1  1  1  1  0  0  0  1  1  1  1  0  1  0  0  0  1  1  1  1  1  0  0  0  0  1  1  1  0  0  1  1  0  0  1  0  0  0  1  0  0  1  0  1  1  1  1  1 -449.75       1 0.016667
1    0  1  0  1  1  0  0  0  0  0  1  0  1  0  1  1  0  0  0  1  1  1  0  1  0  0  1  1  1  1  0  1  1  1  0  1  1  1  1  1  0  0  1  0  0  1  0  0  1  0  0  0  1  1  0  0  1  0  1  0  -449.0       1      0.0
51   0  1  0  0  1  0  0  1  0  0  0  0  1  1  1  0  0  1  0  1  0  1  0  1  0  1  1  1  1  0  0  1  1  0  1  1  0  0  0  0  1  0  1  0  1  1  1  1  0  0  1  0  1  1  0  1  1  1  0  0  -449.0       1 0.016667
55   1  1  0  0  1  0  0  0  0  0  1  0  1  0  0  0  1  0  0  0  0  1  0  0  0  1  1  1  1  0  1  1  1  0  0  1  0  1  1  1  0  1  1  0  0  1  0  0  1  1  1  0  1  1  0  0  1  1  1  1  -449.0       1 0.016667
113  0  1  0  0  1  0  0  0  0  0  1  0  1  0  1  1  0  1  0  0  0  1  0  1  0  1  0  1  1  0  0  1  1  1  1  1  1  1  0  1  1  0  0  0  1  0  0  1  0  0  1  0  1  1  0  1  1  0  1  1  -449.0       1 0.033333
2    1  0  0  1  1  0  0  0  1  0  1  0  1  0  0  0  1  0  1  0  1  0  1  1  0  1  1  1  1  1  0  1  1  1  0  1  0  1  1  0  0  1  0  1  0  0  1  0  1  0  1  0  0  1  0  0  1  1  1  0 -448.75       1      0.0
49   1  0  0  0  1  0  0  0  0  0  1  0  1  1  1  0  1  0  0  0  0  1  1  1  0  1  1  1  1  0  1  1  1  1  0  1  0  1  1  1  0  1  0  0  1  0  0  0  1  0  1  0  1  1  0  0  1  1  1  0 -448.75       1 0.016667
61   0  1  0  0  1  0  0  0  1  0  1  0  1  0  1  0  0  0  1  0  0  1  0  1  0  1  1  1  1  0  1  1  1  1  1  1  0  1  1  0  1  1  0  0  0  1  0  0  1  1  1  0  1  1  0  0  0  0  1  1 -448.75       1 0.016667
190  0  0  0  0  1  0  0  0  0  0  1  1  1  0  1  1  1  0  0  1  0  1  1  1  0  0  1  1  1  0  0  1  1  1  0  1  1  0  1  1  1  0  0  0  0  0  1  0  0  0  1  0  1  1  0  1  1  0  1  0 -448.75       1 0.033333
3    1  0  0  0  1  0  1  0  1  0  0  1  1  1  1  1  0  0  0  1  1  1  1  1  0  1  0  0  1  1  1  0  0  1  0  1  1  1  1  1  0  1  1  0  0  0  1  0  1  0  0  0  0  1  0  0  1  1  1  0  -448.0       1      0.0
150  0  1  0  0  0  0  0  1  0  1  1  0  1  0  1  0  0  1  0  1  0  1  0  1  0  1  0  1  0  0  0  0  1  0  1  1  1  0  0  1  1  1  1  0  1  1  0  1  1  0  0  1  1  1  0  1  1  0  0  0 -447.75       1 0.033333
